,0,1
578,465703,386723
579,11563,388748
580,1445861,388833
581,1446035,389730
582,1445749,389838
583,35428,390843
584,12354,392006
585,496653,392510
586,1446035,392510
587,1138973,395076
588,465703,395147
589,571529,395147
590,1446035,395147
591,29561,395188
592,343978,395188
593,371312,395188
594,434126,395188
595,1116193,396151
596,474435,400286
597,1446035,402304
598,61611,407619
599,43543,408119
600,1445717,408119
601,1445999,408890
602,1445812,408998
603,430676,409615
604,1268964,409842
605,1443022,409842
606,1446035,411440
607,478760,411767
608,1445602,416656
609,12354,418113
610,35019,424001
611,571529,424001
612,1413045,424001
613,1446035,424001
614,12354,426935
615,338095,426935
616,47117,427130
617,536277,427802
618,626349,427802
619,1444451,427802
620,1446035,427860
621,429687,428606
622,430676,428606
623,89223,428888
624,1444309,428888
625,649706,429221
626,1445937,429221
627,1446035,429221
628,536277,429352
629,430676,429792
630,429687,429818
631,1446035,430546
632,185924,430676
633,338135,430676
634,371165,430676
635,717616,430676
636,940384,430676
637,1046721,430676
638,1319718,430676
639,1326712,430676
640,1424541,430676
641,1443049,430676
642,1445634,430676
643,1446035,430676
644,70671,430688
645,497704,430688
646,79564,431338
647,571529,431338
648,1324698,431338
649,12354,432053
650,429687,432166
651,41829,432640
652,110848,432640
653,245114,432640
654,386723,432640
655,430676,432640
656,432937,432640
657,465324,432640
658,581518,432640
659,594194,432640
660,625005,432640
661,649706,432640
662,1181919,432640
663,1324698,432640
664,1326463,432640
665,1326712,432640
666,1444451,432640
667,1444467,432640
668,1445907,432640
669,1446033,432640
670,1446035,432943
671,318910,433109
672,362477,433360
673,464102,433360
674,125444,433768
675,154521,434114
676,295212,434114
677,77586,434191
678,157496,434191
679,1181919,434191
680,1446035,434191
681,1446035,437079
682,591122,438451
683,1192374,438451
684,1424541,438451
685,1445602,438916
686,213276,440811
687,338135,444442
688,360946,444442
689,462647,444442
690,542521,444442
691,1181919,444442
692,1190690,444442
693,1443392,444442
694,1444309,444442
695,1445595,444442
696,1445665,444442
697,1446032,444442
698,576288,447783
699,38624,447868
700,98715,447868
701,278743,447868
702,487829,447868
703,1181919,447868
704,1192374,447868
705,430676,449800
706,1445907,449800
707,244352,451918
708,371165,451918
709,384189,451918
710,1445530,451918
711,1445717,451918
712,1445937,451918
713,1446035,451918
714,487829,452276
715,1181919,452276
716,1324698,452276
717,664193,453292
718,38624,458944
719,462831,461332
720,582254,461332
721,608112,461332
722,1446035,461345
723,44027,461379
724,318910,461379
725,1442722,461379
726,1445927,461379
727,47117,461393
728,474435,461393
729,1445717,461393
730,38624,461538
731,44027,461538
732,47117,461538
733,244101,461538
734,418113,461538
735,465381,461538
736,632052,461538
737,669416,461538
738,1046721,461538
739,1065500,461538
740,1112127,461538
741,1120911,461538
742,1412300,461538
743,1442764,461538
744,1444310,461538
745,47117,461558
746,1192374,461558
747,1444571,461558
748,20943,461618
749,245114,461618
750,581518,461618
751,1444467,461618
752,1444763,461618
753,430676,462647
754,1444728,462647
755,1126309,462771
756,1340215,462771
757,35428,462832
758,44027,462832
759,1112127,462832
760,1424541,462832
761,110848,462892
762,430676,463111
763,1446035,463196
764,430676,464025
765,1424541,464025
766,1190094,464044
767,1443957,464044
768,431582,464354
769,141723,464834
770,153809,464834
771,12315,464907
772,504907,464907
773,12354,465075
774,47117,465381
775,318910,465381
776,338095,465381
777,1442828,465381
778,1445928,465381
779,479083,465466
780,47117,465615
781,1442901,465615
782,1446030,465615
783,433071,465703
784,1446035,465766
785,1444162,467406
786,1413045,467860
787,1444728,468341
788,571290,473957
789,1444763,473957
790,206568,474087
791,649706,474435
792,318910,474463
793,525633,474463
794,1192284,474463
795,1442828,474463
796,1444148,474463
797,430676,474535
798,478760,474535
799,1424541,474535
800,626441,475956
801,12354,476139
802,141739,476156
803,1181919,476398
804,38624,476802
805,309549,476802
806,611495,476802
807,731874,476802
808,1098527,476802
809,1112127,476802
810,1181919,476802
811,1429707,476802
812,1442997,476802
813,1443262,476802
814,7477,477059
815,62085,477059
816,485078,477059
817,1445634,478587
818,318910,478710
819,465466,479083
820,487829,479160
821,576288,479457
822,1885,480673
823,447783,480673
824,98715,482667
825,367050,482667
826,384189,482667
827,433071,482667
828,478760,482667
829,487125,482667
830,487829,482667
831,699052,482667
832,1444365,482667
833,1445595,482667
834,1445619,482667
835,1445756,482667
836,1446035,482667
837,1190094,483853
838,433360,484950
839,464907,484950
840,594194,484950
841,1167363,484950
842,1445662,484950
843,1413045,485241
844,1181919,486125
845,318910,486639
846,1445834,486639
847,318910,486810
848,1446035,486810
849,803994,487010
850,496653,487414
851,1046721,487414
852,1446035,487414
853,38624,487666
854,35019,487763
855,237713,487763
856,386723,487763
857,1446035,487763
858,55517,487829
859,338135,487829
860,340392,487829
861,384189,487829
862,386723,487829
863,430676,487829
864,433360,487829
865,1181919,487829
866,1446035,487829
867,47117,488276
868,1442977,488276
869,576288,488499
870,399917,489055
871,487829,489055
872,368010,489338
873,465703,489528
874,581518,489528
875,925196,489528
876,1340215,489528
877,1445773,489528
878,1445907,489528
879,1446035,489528
880,110254,489643
881,664193,490208
882,1444630,490208
883,38624,490380
884,77586,490380
885,669416,490380
886,1424541,490502
887,103235,490895
888,206568,490895
889,246223,490895
890,309743,490895
891,368010,490895
892,464907,490895
893,489528,490895
894,501436,490895
895,678874,491640
896,162301,493170
897,1094666,493170
898,465703,494877
899,430676,495150
900,338095,495618
901,487829,495903
902,1192374,495911
903,474207,496653
904,1445997,496653
905,77586,497548
906,1192374,497548
907,430688,497704
908,1444677,498394
909,626349,500511
910,642467,514193
911,245932,515750
912,1445717,515750
913,1445863,515750
914,62106,516818
915,1442901,521911
916,430676,522761
917,1445750,522761
918,649706,531333
919,1316951,531333
920,338135,532206
921,1445661,532206
922,1213237,536277
923,340392,540878
924,611495,540878
925,107176,541115
926,925196,541115
927,1062291,541115
928,1444630,541115
929,47117,541268
930,245114,542317
931,1443022,542344
932,360946,542521
933,1078932,542521
934,1445619,542521
935,1445907,542521
936,340392,542646
937,540878,542646
938,1442858,542646
939,1085804,543006
940,124197,543208
941,311534,543208
942,465381,543208
943,1445659,543208
944,430676,543542
945,12354,559529
946,110848,559529
947,318910,559529
948,385689,559529
949,464354,559529
950,1046721,559529
951,1192374,559529
952,1445717,559529
953,382009,561570
954,430676,561570
955,1075066,561570
956,1192374,561570
957,1445980,561570
958,47117,565618
959,153809,565618
960,367991,565618
961,774338,565618
962,1444763,568593
963,40302,569951
964,1413045,569951
965,1445514,569951
966,1446035,569951
967,409555,570128
968,430676,570658
969,649706,570658
970,1446035,570658
971,1443022,571203
972,23004,571290
973,40302,571290
974,245114,571290
975,360946,571290
976,430676,571290
977,473957,571290
978,487829,571290
979,542521,571290
980,666677,571290
981,1181919,571290
982,1192374,571290
983,1326463,571290
984,1340384,571290
985,1443380,571290
986,1444310,571290
987,1444451,571290
988,1444763,571290
